full_name,status,brand
Екатерина Лобачёва,топ-менеджмент,X5 Retail Group
Игорь Шехтерман,топ-менеджмент,X5 Retail Group
Андрей Гусев,топ-менеджмент,X5 Retail Group
Станислав Богданов,топ-менеджмент,X5 Retail Group
Михаил Фридман,крупный акционер,X5 Retail Group
Герман Хан,крупный акционер,X5 Retail Group
Алексей Кузьмичёв,крупный акционер,X5 Retail Group
Владислав Курбатов,руководитель бренда,Пятёрочка
Ольга Наумова,руководитель бренда,Пятёрочка
Сергей Гончаров,руководитель бренда,Пятёрочка
Владимир Сорокин,руководитель бренда,Перекрёсток
Илья Якубсон,руководитель бренда,Чижик
Дмитрий Козлов,руководитель бренда,Чижик
